oracle_dropped_mean_Lmean,oracle_dropped_mean_Lmax,oracle_dropped_mean_Lstd,oracle_dropped_max_Lmean,oracle_dropped_max_Lmax,oracle_dropped_max_Lstd,consensus_oracle_Lmean,consensus_oracle_Lmax,consensus_oracle_Lstd,fully_dropped_oracle_Lmean,fully_dropped_oracle_Lmax,fully_dropped_oracle_Lstd,est_dropped_mean_Lmean,est_dropped_mean_Lmax,est_dropped_mean_Lstd,est_dropped_max_Lmean,est_dropped_max_Lmax,est_dropped_max_Lstd,consensus_est_Lmean,consensus_est_Lmax,consensus_est_Lstd,fully_dropped_est_Lmean,fully_dropped_est_Lmax,fully_dropped_est_Lstd,dense_entropy_Lmean,dense_entropy_Lmax,dense_entropy_Lstd,sparse_entropy_Lmean,sparse_entropy_Lmax,sparse_entropy_Lstd,out_cos_mean_Lmean,out_cos_mean_Lmax,out_cos_mean_Lstd,out_cos_max_Lmean,out_cos_max_Lmax,out_cos_max_Lstd,out_relL2_mean_Lmean,out_relL2_mean_Lmax,out_relL2_mean_Lstd,out_relL2_max_Lmean,out_relL2_max_Lmax,out_relL2_max_Lstd,keep_tokens_frac_Lmean,keep_tokens_frac_Lmax,keep_tokens_frac_Lstd,step,input_token,kv_len,prefill_s,probe_s,step_s,sparse_margin,sparse_logit_entropy,logit_kl,top1_flip,dense_argmax,sparse_argmax,task_id,family,keep_frac,schedule,dense_correct
0.08955438591406814,0.21158508956432343,0.051963044192644914,0.2828591636248997,0.7471439838409424,0.16597061819584108,0.11196867180322963,0.2835874855518341,0.06251091033898507,0.060960479180461595,0.14327439665794373,0.03510620598154163,0.06021207997608664,0.21141484379768372,0.06582994757039506,0.17246475107302622,0.6355929374694824,0.1720661725363344,0.10569519764145038,0.4944790005683899,0.11469488961438612,0.03612386229048882,0.1260748952627182,0.03729768085364499,0.3258509880730084,0.4942423701286316,0.08428282370051295,0.35841558075376917,0.548316478729248,0.08275972471647314,0.017240167857380584,0.06257292628288269,0.015550771458531754,0.10162431001663208,0.42823684215545654,0.09161692643627682,0.12719020932646735,0.2566918730735779,0.05796764391386306,0.4194320842091526,0.8280754089355469,0.1748997756837799,0.11194731295108795,0.11194731295108795,0.0,0,1592,2125,23.478237099945545,0.1606108001433313,0.4823926000390202,8.453125,0.00027883416623808444,1.7119513358920813e-05,False,151645,151645,multi_entity-2048-0,multi_entity,0.125,uniform,True
0.0920244081810649,0.2153170108795166,0.05391487480634371,0.29084069601127077,0.6501389145851135,0.15694157422225968,0.11508319623369191,0.26415467262268066,0.06187778716795695,0.0639600257771755,0.19203981757164001,0.04439844608207779,0.06739834023340206,0.4409208297729492,0.0871591447124277,0.18895272218755313,0.8498303890228271,0.1876289267386822,0.1105854924036456,0.4693262577056885,0.11399166691471248,0.04414030832621003,0.386549711227417,0.07261597738525946,0.3271493741444179,0.4957612454891205,0.08415502040683913,0.36186229224715916,0.5370001792907715,0.0852256105242754,0.017289209651478035,0.049226827919483185,0.013677502913531573,0.10118545378957476,0.34078341722488403,0.08145821299717522,0.12826688840453113,0.22645220160484314,0.057829340096744904,0.4182508143463305,0.7519645690917969,0.17404554716872167,0.11732293598886047,0.18720601499080658,0.045727552248716656,0,1592,2125,23.456524400040507,0.15991179994307458,0.23403799999505281,8.5625,0.00026353431167081,2.8058617317583412e-05,False,151645,151645,multi_entity-2048-0,multi_entity,0.125,pyramid,True
0.10072267135339123,0.22928941249847412,0.05657773776175088,0.304351521389825,0.8212408423423767,0.1859650173016657,0.1153680474630424,0.238009974360466,0.059867032693115635,0.06768515789216119,0.20202061533927917,0.04445717631447647,0.06500900982479964,0.6229716539382935,0.11986886154174148,0.16302392438852362,0.8353967070579529,0.19640593133843778,0.0980615267929222,0.8361197710037231,0.1589320021897091,0.04292415571399033,0.4174366295337677,0.08507634132215039,0.33553568060909,0.5109735131263733,0.0984411595619722,0.36524148285388947,0.5815643072128296,0.09270667326386141,0.021533577183228254,0.07433341443538666,0.01853449606538561,0.1253403127193451,0.7867774963378906,0.15272019328116013,0.1496064287743398,0.2783389985561371,0.05811278278802188,0.46673568205109667,0.9872654676437378,0.21732135072724365,0.11732293598886047,0.18720601499080658,0.045727552248716656,0,1592,2125,23.387318199966103,0.1615583999082446,0.24090519989840686,6.59375,0.0038580787368118763,0.002974491333588958,False,151645,151645,multi_entity-2048-0,multi_entity,0.125,inv_pyramid,True
0.17467351866486883,0.5338521003723145,0.13004406824915407,0.43704003947121756,0.8575607538223267,0.22699630971230414,0.19296257650213583,0.6004862189292908,0.1386541296332834,0.12844271319253103,0.3872377574443817,0.08895126911690641,0.10950512801563102,0.45680326223373413,0.12075258494748764,0.2714628000477595,0.7851121425628662,0.2115410108354428,0.16045378614217043,0.7310878038406372,0.17893457675477853,0.07318062711107944,0.3174035847187042,0.0792206618730808,0.35299499705433846,0.5706003308296204,0.11039232672689918,0.3804949016443321,0.5799828767776489,0.08899080687583419,0.052698714833240956,0.19795915484428406,0.04592548139670326,0.23787032067775726,0.8624850511550903,0.1995740056202843,0.24297589329736574,0.4976474642753601,0.11821280386005609,0.6723533522869859,1.1958162784576416,0.27587772169746116,0.05174035578966141,0.05174035578966141,0.0,0,1592,2125,23.580387300113216,0.1731416000984609,0.25222110003232956,5.171875,0.008108071982860565,0.00901148933917284,False,151645,151645,multi_entity-2048-0,multi_entity,0.0625,uniform,True
0.18561594544111618,0.5356893539428711,0.14082547841653842,0.4658400203500475,0.9639841318130493,0.2544010835179963,0.2016494733813618,0.5907127857208252,0.14901666257602078,0.14423350344545074,0.49091359972953796,0.1194919547920474,0.1415205049810798,0.7067424058914185,0.1784409407332813,0.3298277455781187,0.9783440828323364,0.2763869940048929,0.1783722879897271,0.7067424058914185,0.19717091239390772,0.1166807003069802,0.7067424058914185,0.17760106641440815,0.35393599048256874,0.5849795937538147,0.11096248696960824,0.3761800942676408,0.5510350465774536,0.09267926744308685,0.060526210228480135,0.1928286850452423,0.05409222345276256,0.257609737770898,0.7504871487617493,0.19744547958320524,0.25817933385925634,0.5848226547241211,0.14196191016409154,0.6813383198210171,1.2441753149032593,0.29883691182089234,0.05496572829516871,0.09689557552337646,0.02323363281463398,0,1592,2125,23.53742800001055,0.16130730020813644,0.2785145998932421,4.6953125,0.008618971332907677,0.011373450979590416,False,151645,151645,multi_entity-2048-0,multi_entity,0.0625,pyramid,True
0.1925567194287266,0.406726598739624,0.08933294435674158,0.5087170898914337,0.9435804486274719,0.17396237289143732,0.21051833273044654,0.4685899615287781,0.09714189190525994,0.15384401381015778,0.406726598739624,0.07420802463007069,0.16550217063299247,0.9689128398895264,0.2190911722203332,0.3493554915434548,0.9999995231628418,0.2361888132904478,0.19853140067841327,0.9689127206802368,0.22190795628712545,0.14089971810712346,0.9689127206802368,0.22017640457179877,0.36355460594807354,0.5497954487800598,0.09690378621372922,0.38557895006878035,0.5440320372581482,0.08740172969727383,0.06757523545197078,0.16137783229351044,0.03980165847739281,0.31764763806547436,0.8779247403144836,0.200804124418778,0.29228629544377327,0.49384960532188416,0.09079852291370936,0.7835210167935917,1.253222107887268,0.23958418414221813,0.05496572829516871,0.09689557552337646,0.02323363281463398,0,1592,2125,23.563522099982947,0.16025869990698993,0.23766189999878407,5.75,0.0031431952957063913,0.0031209303997457027,False,151645,151645,multi_entity-2048-0,multi_entity,0.0625,inv_pyramid,True
0.1605724279901811,0.31232506036758423,0.0709027783682388,0.458679871899741,0.767298698425293,0.16488844097779565,0.1942601285076567,0.3852897882461548,0.08805005125080533,0.10398397388468895,0.22511813044548035,0.04998429033239777,0.0773380030545273,0.2633174955844879,0.06162905189414806,0.2489129231710519,0.5925921201705933,0.17342815728457,0.13860154158568808,0.48934096097946167,0.12489974771051957,0.04410499781287009,0.13670867681503296,0.03195439976147328,0.37324162093656404,0.5491557121276855,0.09112953565778498,0.37040240902985844,0.5393967628479004,0.08428081846351249,0.04449810768710449,0.12679342925548553,0.03281736086113229,0.27134679683617186,1.1835132837295532,0.28769789812700264,0.21362761660878146,0.3285686671733856,0.07087398031699405,0.6442863025835582,1.1286166906356812,0.24981742307201804,0.10897743701934814,0.10897743701934814,0.0,0,2227,2082,23.650818099966273,0.1613459000363946,0.2396360000129789,4.15625,0.007221991661936045,9.176763705909252e-05,False,151645,151645,multi_entity-2048-1,multi_entity,0.125,uniform,True
0.16429220579032386,0.31878748536109924,0.0810926878276465,0.4659052789211273,0.7628949880599976,0.1693983366860988,0.1963600106537342,0.3834381103515625,0.09041955397935965,0.1119247675607247,0.3186841607093811,0.07293014695172015,0.08614392264280468,0.35935959219932556,0.0783768228516116,0.2651050292354609,0.734848141670227,0.1832865244854065,0.14318109889947145,0.4811694025993347,0.12212994129189912,0.05432871447659896,0.35935965180397034,0.06750709449980972,0.3743378349712917,0.5398255586624146,0.09041280976896107,0.3733333572745323,0.52623051404953,0.08379336895171101,0.04014119005296379,0.08713941276073456,0.023658959909824136,0.23068920629365103,0.636695146560669,0.18966055325208597,0.2119964792260102,0.35976940393447876,0.07774923888886452,0.615786976580109,1.0615434646606445,0.23720681291176904,0.1128180521939482,0.18578973412513733,0.04528017852183227,0,2227,2082,23.609322800068185,0.16309989988803864,0.26699150004424155,4.09375,0.0075618065893650055,0.00021102861501276493,False,151645,151645,multi_entity-2048-1,multi_entity,0.125,pyramid,True
0.15909529104828835,0.2826591730117798,0.06720185483911897,0.4504054593188422,0.8287919163703918,0.1716275849560977,0.19269131124019623,0.39065200090408325,0.08518985052946022,0.10253609796719891,0.19144311547279358,0.044202330020693674,0.08314458573503154,0.2866554856300354,0.07527115270758568,0.2576447244999664,0.7329556941986084,0.2060877325208889,0.1421147459020306,0.4952430725097656,0.13230171215820852,0.05211585025036974,0.24461889266967773,0.05443470579626485,0.3722994939557144,0.5462529063224792,0.09111821624133187,0.37209954644952503,0.5615065693855286,0.08442388478772221,0.04586384465385761,0.1294490396976471,0.03582860523765113,0.28142836689949036,1.2011810541152954,0.30213102942231007,0.21667283746813024,0.35349854826927185,0.07683586275631173,0.6494333456669535,1.1296663284301758,0.27087184179093793,0.1128180521939482,0.18578973412513733,0.045280178521832276,0,2227,2082,23.584545700112358,0.16111940005794168,0.26405299990437925,4.265625,0.006600271910429001,7.086186087690294e-05,False,151645,151645,multi_entity-2048-1,multi_entity,0.125,inv_pyramid,True
0.2809715034174068,0.7177402973175049,0.14613264327148903,0.6716019362211227,0.9371761083602905,0.20858386904267195,0.30281369973506245,0.7756596803665161,0.1546062711884741,0.21346016906734025,0.5751416087150574,0.10836230572198886,0.15519904205575585,0.3749696910381317,0.10833192482379383,0.426792694787894,0.7297552824020386,0.21174862060103694,0.2153886517376772,0.5594304203987122,0.15701102433226882,0.10517520630466086,0.25320175290107727,0.07141004588451108,0.4071466326713562,0.680718183517456,0.12055140381395885,0.3798323316233499,0.5998743176460266,0.09615011362068619,0.12412564556247421,0.5552796721458435,0.10182908730234486,0.5074131978409631,1.379413366317749,0.3415835181974242,0.3729311653545925,0.6229308843612671,0.11712772654643526,0.8976545461586544,1.2873895168304443,0.20337655905632968,0.047527603805065155,0.047527603805065155,0.0,0,2227,2082,23.859653200022876,0.16756540001370013,0.2621591000352055,4.328125,0.006260991096496582,0.001217542914673686,False,151645,151645,multi_entity-2048-1,multi_entity,0.0625,uniform,True
