oracle_dropped_mean_Lmean,oracle_dropped_mean_Lmax,oracle_dropped_mean_Lstd,oracle_dropped_max_Lmean,oracle_dropped_max_Lmax,oracle_dropped_max_Lstd,consensus_oracle_Lmean,consensus_oracle_Lmax,consensus_oracle_Lstd,fully_dropped_oracle_Lmean,fully_dropped_oracle_Lmax,fully_dropped_oracle_Lstd,est_dropped_mean_Lmean,est_dropped_mean_Lmax,est_dropped_mean_Lstd,est_dropped_max_Lmean,est_dropped_max_Lmax,est_dropped_max_Lstd,consensus_est_Lmean,consensus_est_Lmax,consensus_est_Lstd,fully_dropped_est_Lmean,fully_dropped_est_Lmax,fully_dropped_est_Lstd,dense_entropy_Lmean,dense_entropy_Lmax,dense_entropy_Lstd,sparse_entropy_Lmean,sparse_entropy_Lmax,sparse_entropy_Lstd,out_cos_mean_Lmean,out_cos_mean_Lmax,out_cos_mean_Lstd,out_cos_max_Lmean,out_cos_max_Lmax,out_cos_max_Lstd,out_relL2_mean_Lmean,out_relL2_mean_Lmax,out_relL2_mean_Lstd,out_relL2_max_Lmean,out_relL2_max_Lmax,out_relL2_max_Lstd,keep_tokens_frac_Lmean,keep_tokens_frac_Lmax,keep_tokens_frac_Lstd,step,input_token,kv_len,prefill_s,probe_s,step_s,sparse_margin,sparse_logit_entropy,logit_kl,top1_flip,dense_argmax,sparse_argmax,task_id,family,ctx,prompt_tokens,method,keep_frac,mode
0.07197106396779418,0.2351762354373932,0.05310700762999823,0.2659059514602025,0.8169423937797546,0.1827415189737761,0.09833402380657692,0.2910817861557007,0.07280890984622589,0.029800919680080067,0.08686874806880951,0.024987945116995668,0.026040982322835287,0.16986995935440063,0.03695466123286728,0.07790807227017164,0.31060585379600525,0.07985025099127141,0.05863363629456823,0.24835723638534546,0.072455260415328,0.009599832117146434,0.05610620230436325,0.012765588619908137,0.3407937381416559,0.6102558374404907,0.09747537974338054,0.36927754369874793,0.605348527431488,0.09607388460037948,0.016107473841354174,0.077240489423275,0.01853410004065742,0.14561068266630173,1.0486609935760498,0.22827299024528724,0.09581769451809426,0.19146984815597534,0.05633594236218603,0.43934205764283735,1.0752339363098145,0.2834388318259801,0.2380952388048172,0.2380952388048172,0.0,0,2227,1091,3.7032366001512855,0.05553780007176101,0.1899659000337124,3.25,0.013554669916629791,0.004892013967037201,False,151645,151645,multi_entity-1024-0,multi_entity,1024,1091,quest_topk,0.25,free
0.07197106396779418,0.2351762354373932,0.05310700762999823,0.2659059514602025,0.8169423937797546,0.1827415189737761,0.09833402380657692,0.2910817861557007,0.07280890984622589,0.029800919680080067,0.08686874806880951,0.024987945116995668,0.026040982322835287,0.16986995935440063,0.03695466123286728,0.07790807227017164,0.31060585379600525,0.07985025099127141,0.05863363629456823,0.24835723638534546,0.072455260415328,0.009599832117146434,0.05610620230436325,0.012765588619908137,0.3407937381416559,0.6102558374404907,0.09747537974338054,0.36927754369874793,0.605348527431488,0.09607388460037948,0.016107473841354174,0.077240489423275,0.01853410004065742,0.14561068266630173,1.0486609935760498,0.22827299024528724,0.09581769451809426,0.19146984815597534,0.05633594236218603,0.43934205764283735,1.0752339363098145,0.2834388318259801,0.2380952388048172,0.2380952388048172,0.0,0,2227,1091,3.742500399937853,0.0554239999037236,0.11907569994218647,3.25,0.013554669916629791,0.004892013967037201,False,151645,151645,multi_entity-1024-0,multi_entity,1024,1091,quest_topk,0.25,teacher
0.030111342142239057,0.16884641349315643,0.04108898519042653,0.09806911895672481,0.4843888282775879,0.11889085887488055,0.040825862762479424,0.25026029348373413,0.05891214294281528,0.013494183904185775,0.07379255443811417,0.020528935560957636,0.013112973101992035,0.12513451278209686,0.029170611318602924,0.03626306138767177,0.23510202765464783,0.06437849891523538,0.03021728602004714,0.2185175120830536,0.058358869250879346,0.004597980916493327,0.03980930149555206,0.00966819414229235,0.26948893008132774,0.5083935260772705,0.10109141009109478,0.31221382568279904,0.5479979515075684,0.10509676603749503,0.0021337129566395183,0.012265508063137531,0.0032788917529981932,0.01477364202340444,0.12967002391815186,0.02769699346055213,0.03486863100746026,0.11476290971040726,0.036729315493310044,0.13524463473974416,0.6149643063545227,0.1434426631964482,0.2387923151254654,0.2387923151254654,0.0,1,151645,1092,0.0,0.0565403001382947,0.1163278000894934,12.765625,1.0438081517349929e-05,3.373804702277994e-08,False,198,198,multi_entity-1024-0,multi_entity,1024,1091,quest_topk,0.25,teacher
0.4874175327519576,0.6751048564910889,0.128359642047111,0.8615576749046644,1.0,0.10594809453002497,0.4874175240596135,0.6751047968864441,0.1283596464242174,0.4874175240596135,0.6751047968864441,0.1283596464242174,0.44065466259295744,0.9975940585136414,0.2929013064195131,0.802909837414821,1.0,0.21689073644025292,0.440654637136807,0.9975939989089966,0.29290129900867745,0.440654637136807,0.9975939989089966,0.29290129900867745,0.4082910797248284,0.6012541055679321,0.10397315274590391,0.26387486048042774,0.48365944623947144,0.09047530627832848,0.4088751518477996,1.0136570930480957,0.23525798897210756,1.033587669332822,1.650754690170288,0.3689087173835141,0.794823012004296,1.3329418897628784,0.2214791525036555,1.540409304201603,2.7603726387023926,0.431972411519125,0.03296703100204468,0.03296703100204468,0.0,0,2227,1091,3.7383196998853236,0.0568062998354435,0.10896890005096793,0.6640625596046448,0.1363649070262909,0.5607640743255615,False,151645,151645,multi_entity-1024-0,multi_entity,1024,1091,quest_topk,0.0625,free
0.4874175327519576,0.6751048564910889,0.128359642047111,0.8615576749046644,1.0,0.10594809453002497,0.4874175240596135,0.6751047968864441,0.1283596464242174,0.4874175240596135,0.6751047968864441,0.1283596464242174,0.44065466259295744,0.9975940585136414,0.2929013064195131,0.802909837414821,1.0,0.21689073644025292,0.440654637136807,0.9975939989089966,0.29290129900867745,0.440654637136807,0.9975939989089966,0.29290129900867745,0.4082910797248284,0.6012541055679321,0.10397315274590391,0.26387486048042774,0.48365944623947144,0.09047530627832848,0.4088751518477996,1.0136570930480957,0.23525798897210756,1.033587669332822,1.650754690170288,0.3689087173835141,0.794823012004296,1.3329418897628784,0.2214791525036555,1.540409304201603,2.7603726387023926,0.431972411519125,0.03296703100204468,0.03296703100204468,0.0,0,2227,1091,3.726233799941838,0.05563710001297295,0.11429710010997951,0.6640625596046448,0.1363649070262909,0.5607640743255615,False,151645,151645,multi_entity-1024-0,multi_entity,1024,1091,quest_topk,0.0625,teacher
0.21485906327143312,0.7438413500785828,0.15295614173743532,0.5246264114975929,0.9996539950370789,0.2280936350608072,0.21485905333732566,0.743841290473938,0.15295613735071842,0.21485905333732566,0.743841290473938,0.15295613735071842,0.2518929649935065,0.9973207116127014,0.30001382811351124,0.5533893506508321,1.0,0.3965236924868513,0.2518929548847761,0.9973206520080566,0.30001382588674513,0.2518929548847761,0.9973206520080566,0.30001382588674513,0.2797881405179699,0.5083935260772705,0.10451104464091442,0.3279178353647391,0.6479405164718628,0.11509327446548319,0.07587856468550551,0.38991960883140564,0.08678650319944012,0.31648023923238117,1.1700475215911865,0.3146533120817729,0.3175671980716288,1.2170292139053345,0.2471233192415758,0.8514296915382147,2.3079161643981934,0.5666716222723968,0.033851783722639084,0.033851783722639084,0.0,1,151645,1092,0.0,0.05526260007172823,0.10599799989722669,12.6640625,1.786018765415065e-05,1.7914608179125935e-05,False,198,198,multi_entity-1024-0,multi_entity,1024,1091,quest_topk,0.0625,teacher
0.06606071714001398,0.2047543227672577,0.05181947147772046,0.24929856012264887,0.6667262315750122,0.16952984950062483,0.0807766339275986,0.2622743844985962,0.06346698372634704,0.02550542092649266,0.09140974283218384,0.02339899203883658,0.033072641066307064,0.18970617651939392,0.04746507659109855,0.09189662707891937,0.3420897126197815,0.09719301235405074,0.05979741201250969,0.25160151720046997,0.07489685228091451,0.01155715537637055,0.07153783738613129,0.01684090366745186,0.33860071934759617,0.6040613651275635,0.09817335641434216,0.3682837982972463,0.6097344160079956,0.09798043958761335,0.011804636268304117,0.05564693361520767,0.012730644742939444,0.09954835971196492,0.4718264937400818,0.12842796012968777,0.08580699609592557,0.20668666064739227,0.053162880725637865,0.3708389870201548,0.904337465763092,0.24943238023706105,0.24637681245803833,0.24637681245803833,0.0,0,2227,1103,3.7653606000822037,0.05553260003216565,0.10484429984353483,3.5625,0.010891317389905453,0.003418327309191227,False,151645,151645,multi_entity-1024-1,multi_entity,1024,1103,quest_topk,0.25,free
0.06606071714001398,0.2047543227672577,0.05181947147772046,0.24929856012264887,0.6667262315750122,0.16952984950062483,0.0807766339275986,0.2622743844985962,0.06346698372634704,0.02550542092649266,0.09140974283218384,0.02339899203883658,0.033072641066307064,0.18970617651939392,0.04746507659109855,0.09189662707891937,0.3420897126197815,0.09719301235405074,0.05979741201250969,0.25160151720046997,0.07489685228091451,0.01155715537637055,0.07153783738613129,0.01684090366745186,0.33860071934759617,0.6040613651275635,0.09817335641434216,0.3682837982972463,0.6097344160079956,0.09798043958761335,0.011804636268304117,0.05564693361520767,0.012730644742939444,0.09954835971196492,0.4718264937400818,0.12842796012968777,0.08580699609592557,0.20668666064739227,0.053162880725637865,0.3708389870201548,0.904337465763092,0.24943238023706105,0.24637681245803833,0.24637681245803833,0.0,0,2227,1103,3.7197491999249905,0.05540869990363717,0.10599779989570379,3.5625,0.010891317389905453,0.003418327309191227,False,151645,151645,multi_entity-1024-1,multi_entity,1024,1103,quest_topk,0.25,teacher
0.030610174961717956,0.19197802245616913,0.043584227165442364,0.11430708815654118,0.9181413054466248,0.1862209837927214,0.03707873420110749,0.23925898969173431,0.0524346693025659,0.011710431337026725,0.07166735827922821,0.016564996631970922,0.018207538207396585,0.1769520342350006,0.04059618229232894,0.04661594362604168,0.2818980813026428,0.07839052858933128,0.037565461267604405,0.28092169761657715,0.06923939369585613,0.005597287450434862,0.05125444754958153,0.011897704962544255,0.2705443184822798,0.48662543296813965,0.09876567942128613,0.3126763738691807,0.5360972881317139,0.10411390544668055,0.0019398706558793795,0.013033679686486721,0.003094818528602908,0.014291167259216309,0.14725255966186523,0.030449184658519955,0.03400141736589527,0.11521770060062408,0.03487710460733561,0.1348172995300653,0.6572486758232117,0.1468423097569445,0.24705883860588074,0.24705883860588074,0.0,1,151645,1104,0.0,0.05518239992670715,0.10599020007066429,12.75,8.990032256406266e-06,1.870597543529584e-08,False,198,198,multi_entity-1024-1,multi_entity,1024,1103,quest_topk,0.25,teacher
0.29091888200491667,0.5636658072471619,0.12272499528841584,0.6698233410716057,0.9999861717224121,0.2148334868773152,0.2909188689664006,0.5636657476425171,0.12272498430699787,0.2909188689664006,0.5636657476425171,0.12272498430699787,0.3165615783073008,0.8781715631484985,0.23017629763037115,0.6904615225891272,0.9999504685401917,0.2834309858529467,0.31656157155521214,0.878171443939209,0.23017628695681328,0.31656157155521214,0.878171443939209,0.23017628695681328,0.36534537312885124,0.600074291229248,0.0991157082714199,0.3617374636232853,0.5971821546554565,0.1010728399126044,0.18699110830978802,0.6760687232017517,0.16154532933488736,0.69343451410532,1.645826816558838,0.4619813936663368,0.47423447327067453,0.987880289554596,0.20288035847162966,1.108091238886118,2.3913159370422363,0.44918854349504506,0.043478261679410934,0.043478261679410934,0.0,0,2227,1103,3.764766399981454,0.05536579992622137,0.1036523999646306,0.7499999403953552,0.11561752110719681,1.2092366218566895,True,151645,375,multi_entity-1024-1,multi_entity,1024,1103,quest_topk,0.0625,free
