ablation,variant,auc,auc_std,n,rate,width,lo,hi,probe_frac,truth,note,width_std,coverage,train,test,n_train,n_test,model
5_transfer_family,,0.9381261744459448,,,,,,,,,,,,multi_entity,reasoning,45.0,1820.0,1.5b
5_transfer_family,,0.9312169312169313,,,,,,,,,,,,multi_hop,coreference,45.0,75.0,1.5b
5_transfer_family,,0.7954666238554458,,,,,,,,,,,,multi_hop,longform,45.0,1360.0,1.5b
5_transfer_family,,0.9146341463414633,,,,,,,,,,,,multi_hop,multi_entity,45.0,45.0,1.5b
5_transfer_family,,1.0,,,,,,,,,,,,multi_hop,multi_hop,45.0,45.0,1.5b
5_transfer_family,,0.8804236976043662,,,,,,,,,,,,multi_hop,reasoning,45.0,1820.0,1.5b
5_transfer_family,,0.9788359788359787,,,,,,,,,,,,reasoning,coreference,1820.0,75.0,1.5b
5_transfer_family,,0.8707663946677886,,,,,,,,,,,,reasoning,longform,1820.0,1360.0,1.5b
5_transfer_family,,1.0,,,,,,,,,,,,reasoning,multi_entity,1820.0,45.0,1.5b
5_transfer_family,,0.9878048780487806,,,,,,,,,,,,reasoning,multi_hop,1820.0,45.0,1.5b
5_transfer_family,,0.9493394774364736,,,,,,,,,,,,reasoning,reasoning,1820.0,1820.0,1.5b
5_transfer_method,,0.9228513410552476,,,,,,,,,,,,quest_topk,quest_topk,3345.0,3345.0,1.5b
5_transfer_budget,,0.8416555982338371,,,,,,,,,,,,0.03125,0.03125,669.0,669.0,1.5b
5_transfer_budget,,0.8682953127973108,,,,,,,,,,,,0.03125,0.0625,669.0,669.0,1.5b
5_transfer_budget,,0.871919191919192,,,,,,,,,,,,0.03125,0.125,669.0,669.0,1.5b
5_transfer_budget,,0.9166925586453316,,,,,,,,,,,,0.03125,0.25,669.0,669.0,1.5b
5_transfer_budget,,0.907751937984496,,,,,,,,,,,,0.03125,0.5,669.0,669.0,1.5b
5_transfer_budget,,0.8323042682270165,,,,,,,,,,,,0.0625,0.03125,669.0,669.0,1.5b
5_transfer_budget,,0.8949449248398487,,,,,,,,,,,,0.0625,0.0625,669.0,669.0,1.5b
5_transfer_budget,,0.8894500561167228,,,,,,,,,,,,0.0625,0.125,669.0,669.0,1.5b
5_transfer_budget,,0.9451996271555072,,,,,,,,,,,,0.0625,0.25,669.0,669.0,1.5b
5_transfer_budget,,0.9429586563307494,,,,,,,,,,,,0.0625,0.5,669.0,669.0,1.5b
5_transfer_budget,,0.7042843809455432,,,,,,,,,,,,0.125,0.03125,669.0,669.0,1.5b
5_transfer_budget,,0.8418042664749783,,,,,,,,,,,,0.125,0.0625,669.0,669.0,1.5b
5_transfer_budget,,0.9092704826038159,,,,,,,,,,,,0.125,0.125,669.0,669.0,1.5b
5_transfer_budget,,0.941937237843716,,,,,,,,,,,,0.125,0.25,669.0,669.0,1.5b
5_transfer_budget,,0.9371447028423773,,,,,,,,,,,,0.125,0.5,669.0,669.0,1.5b
5_transfer_budget,,0.669450227949887,,,,,,,,,,,,0.25,0.03125,669.0,669.0,1.5b
5_transfer_budget,,0.815699063405146,,,,,,,,,,,,0.25,0.0625,669.0,669.0,1.5b
5_transfer_budget,,0.8637261503928171,,,,,,,,,,,,0.25,0.125,669.0,669.0,1.5b
5_transfer_budget,,0.946015224483455,,,,,,,,,,,,0.25,0.25,669.0,669.0,1.5b
5_transfer_budget,,0.9372093023255814,,,,,,,,,,,,0.25,0.5,669.0,669.0,1.5b
5_transfer_budget,,0.5167013676993215,,,,,,,,,,,,0.5,0.03125,669.0,669.0,1.5b
5_transfer_budget,,0.6966954903909173,,,,,,,,,,,,0.5,0.0625,669.0,669.0,1.5b
5_transfer_budget,,0.783973063973064,,,,,,,,,,,,0.5,0.125,669.0,669.0,1.5b
5_transfer_budget,,0.8866319714152555,,,,,,,,,,,,0.5,0.25,669.0,669.0,1.5b
5_transfer_budget,,0.9401808785529716,,,,,,,,,,,,0.5,0.5,669.0,669.0,1.5b
