stream,estimator,target_rate,probe_rate,width_mean,width_std,coverage,true_divergence,n_steps
keep=0.03125,fixed + Hoeffding,0.01,0.009873949579831932,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,fixed + Hoeffding,0.02,0.019957983193277313,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,fixed + Hoeffding,0.05,0.04789915966386555,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,fixed + Hoeffding,0.1,0.09905462184873952,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,fixed + Hoeffding,0.2,0.20042016806722693,0.9966665641027218,0.010525211665554661,1.0,0.43067226890756305,476
keep=0.03125,fixed + Hoeffding,0.4,0.39527310924369746,0.6486454413570806,1.137640067256873e-16,1.0,0.43067226890756305,476
keep=0.03125,fixed + Hoeffding,0.8,0.7989495798319328,0.3243227206785403,3.510833468576701e-17,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.01,0.009873949579831932,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.02,0.019957983193277313,0.996885180839349,0.01357718194868223,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.05,0.04789915966386555,0.8554932844859959,0.12556408081194478,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.1,0.09905462184873952,0.6729719477968368,0.05748017892879212,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.2,0.20042016806722693,0.46430801890066953,0.04048387738309739,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.4,0.39527310924369746,0.3215144807582505,0.013898998938478657,1.0,0.43067226890756305,476
keep=0.03125,fixed + EmpBernstein,0.8,0.7989495798319328,0.20484217396041174,0.0023870648861792744,1.0,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.01,0.009873949579831932,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.02,0.019957983193277313,0.8875,0.0875,1.0,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.05,0.04789915966386555,0.6075,0.0779021822544144,1.0,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.1,0.09905462184873952,0.425,0.0518411033833193,1.0,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.2,0.20042016806722693,0.28687499999999994,0.05054005218636006,0.9,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.4,0.39527310924369746,0.2046875,0.039423333430216166,0.9,0.43067226890756305,476
keep=0.03125,fixed + Betting,0.8,0.7989495798319328,0.0884375,0.0260726898545202,0.5,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.01,0.011239495798319328,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.02,0.02100840336134454,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.05,0.05178571428571429,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.1,0.10262605042016808,0.9952380369199808,0.01824717704286345,1.0,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.2,0.20483193277310927,0.7051982741106027,0.010385529282907938,1.0,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.4,0.41533613445378154,0.38330063019747207,0.00463246360860102,1.0,0.43067226890756305,476
keep=0.03125,adaptive + EmpBernstein,0.8,0.7863445378151261,0.21673470177336013,0.0017659885860426675,1.0,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.01,0.011239495798319328,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.02,0.02100840336134454,1.0,0.0,1.0,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.05,0.05178571428571429,0.8700000000000001,0.09539392014169455,1.0,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.1,0.10262605042016808,0.6949999999999998,0.03840572873934303,1.0,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.2,0.20483193277310927,0.38499999999999995,0.047696960070847304,0.9,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.4,0.41533613445378154,0.19624999999999998,0.045603590867386745,0.85,0.43067226890756305,476
keep=0.03125,adaptive + Betting,0.8,0.7863445378151261,0.069375,0.018317938612191043,0.45,0.43067226890756305,476
